latitude,longitude,postal_code,fsa
43.68889,-79.31206,M4C 4K2,M4C 
43.66721,-79.40573,M5S 1X9,M5S 
43.63177,-79.56097,M9C 1T1,M9C 
43.66621,-79.45248000000001,M6P 3Y7,M6P 
43.64089,-79.43016,M6K 2J2,M6K 
43.67542,-79.31621,M4L 2G4,M4L 
43.63823,-79.4209,M6K 3H4,M6K 
43.613640000000004,-79.49155,M8V 2W1,M8V 
43.6667,-79.40541999999999,M5S 1X2,M5S 
43.681940000000004,-79.45018,M6E 1K4,M6E 
43.663959999999996,-79.35996,M5A 3N3,M5A 
43.65912,-79.40418000000001,M5S 2L9,M5S 
43.66453,-79.36831,M5A 2L2,M5A 
43.76944,-79.36906,M2K 1C5,M2K 
43.64515,-79.43844,M6R 2A4,M6R 
43.66341,-79.33861999999999,M4M 2W3,M4M 
43.77872,-79.32847,M2J 3Z7,M2J 
43.78049,-79.32804,M2J 3Z7,M2J 
43.65423,-79.41154,M6J 2J3,M6J 
43.64085,-79.41575,M6K 3S2,M6K 
43.759609999999995,-79.3949,M2P 1T3,M2P 
43.66903,-79.417,M6G 2R8,M6G 
43.6625,-79.45191,M6P 3X9,M6P 
43.6603,-79.40164,M5S 1B7,M5S 
43.648540000000004,-79.40799,M6J 2J8,M6J 
43.6402,-79.38363000000001,M5J 2N2,M5J 
43.66069,-79.33684000000001,M4M 1K3,M4M 
43.700720000000004,-79.27318000000001,M1L 0B1,M1L 
43.65627,-79.41314,M6G 2Y3,M6G 
43.64557,-79.41731999999999,M6J 1H4,M6J 
43.65185,-79.41444,M6J 2S2,M6J 
43.68354,-79.41932,M6C 2L4,M6C 
43.69229,-79.2599,M1N 1G2,M1N 
43.67341,-79.44588,M6H 2K4,M6H 
43.70377,-79.40491999999999,M4R 1A9,M4R 
43.70469,-79.40516,M4R 1A9,M4R 
43.704209999999996,-79.40503000000001,M4R 1A9,M4R 
43.64178,-79.41359,M6J 3W4,M6J 
43.65202,-79.43409,M6H 1B5,M6H 
43.677440000000004,-79.40168,M4V 2M3,M4V 
43.67866,-79.3997,M4V 2M4,M4V 
43.66403,-79.38324,M4Y 3B2,M4Y 
43.704409999999996,-79.40488,M4R 1A9,M4R 
43.67321,-79.33529,M4J 1B2,M4J 
43.65553,-79.39203,M5T 1K5,M5T 
43.65652,-79.41792,M6G 2Y3,M6G 
43.65143,-79.45531,M6R 2X4,M6R 
43.665820000000004,-79.36926,M4X 1A1,M4X 
43.658359999999995,-79.36819,M5A 2T3,M5A 
43.75585,-79.49061,M3J 1R4,M3J 
