fsa,postal_code,property_type,room_type,price,source_loaded
M6G ,M6G 2P3,Apartment,Entire home/apt,220.0,airbnb
M4V ,M4V 2T3,Apartment,Shared room,67.0,airbnb
M5P ,M5P 1R6,Condominium,Entire home/apt,135.0,airbnb
M2J ,M2J 3Z7,House,Private room,33.0,airbnb
M2J ,M2J 3Z7,House,Private room,24.0,airbnb
M5V ,M5V 2V9,Apartment,Entire home/apt,189.0,airbnb
M5B ,M5B 1T8,Condominium,Entire home/apt,159.0,airbnb
M6H ,M6H 1B5,Apartment,Entire home/apt,99.0,airbnb
M6H ,M6H 2S9,House,Private room,103.0,airbnb
M2R ,M2R 1Z1,Apartment,Private room,118.0,airbnb
M5V ,M5V 2V9,Apartment,Entire home/apt,189.0,airbnb
M6K ,M6K 3E7,Loft,Entire home/apt,149.0,airbnb
M6G ,M6G 2K7,House,Entire home/apt,162.0,airbnb
M4L ,M4L 3E3,House,Entire home/apt,159.0,airbnb
M4K ,M4K 1X7,House,Entire home/apt,300.0,airbnb
M2H ,M2H 2W6,Apartment,Private room,87.0,airbnb
M6H ,M6H 2T8,House,Entire home/apt,200.0,airbnb
M5V ,M5V 3E7,Loft,Entire home/apt,234.0,airbnb
M5J ,M5J 2Y5,Serviced apartment,Entire home/apt,458.0,airbnb
M5R ,M5R 1P1,House,Entire home/apt,346.0,airbnb
M4J ,M4J 3C9,House,Private room,42.0,airbnb
M6K ,M6K 1J6,Apartment,Private room,50.0,airbnb
M5J ,M5J 0A1,Condominium,Entire home/apt,147.0,airbnb
M4K ,M4K 1C1,Apartment,Entire home/apt,84.0,airbnb
M4J ,M4J 1B6,Apartment,Entire home/apt,88.0,airbnb
M5J ,M5J 0A6,Condominium,Entire home/apt,130.0,airbnb
M5R ,M5R 1K9,Apartment,Entire home/apt,184.0,airbnb
M4J ,M4J 1G4,House,Entire home/apt,269.0,airbnb
M5A ,M5A 1M1,Loft,Entire home/apt,159.0,airbnb
M3C ,M3C 3Z5,House,Private room,40.0,airbnb
M4M ,M4M 1V9,Apartment,Entire home/apt,88.0,airbnb
M5B ,M5B 1T8,Condominium,Entire home/apt,170.0,airbnb
M5V ,M5V 1J6,House,Private room,66.0,airbnb
M5V ,M5V 3E4,Condominium,Entire home/apt,295.0,airbnb
M6K ,M6K 2L7,Guest suite,Entire home/apt,80.0,airbnb
M5V ,M5V 3P5,Condominium,Entire home/apt,96.0,airbnb
M4V ,M4V 2C2,Condominium,Entire home/apt,135.0,airbnb
M6C ,M6C 1A9,Guest suite,Entire home/apt,98.0,airbnb
M8V ,M8V 4G1,Apartment,Entire home/apt,201.0,airbnb
M6H ,M6H 3A4,Guest suite,Entire home/apt,125.0,airbnb
M5T ,M5T 2W5,Condominium,Private room,100.0,airbnb
M6G ,M6G 2R8,Apartment,Entire home/apt,62.0,airbnb
M6J ,M6J 2T3,Apartment,Private room,75.0,airbnb
M4P ,M4P 1N3,House,Entire home/apt,536.0,airbnb
M4E ,M4E 3B2,Townhouse,Entire home/apt,104.0,airbnb
M6K ,M6K 3K4,Apartment,Entire home/apt,149.0,airbnb
M5V ,M5V 3W9,Condominium,Entire home/apt,121.0,airbnb
M6K ,M6K 3R5,Condominium,Entire home/apt,200.0,airbnb
M4E ,M4E 2B8,Apartment,Entire home/apt,66.0,airbnb
M5J ,M5J 0A6,Condominium,Entire home/apt,249.0,airbnb
M6H ,M6H 3Z5,House,Private room,122.0,airbnb
M6G ,M6G 3B3,House,Entire home/apt,250.0,airbnb
M6C ,M6C 2T3,House,Private room,70.0,airbnb
M6K ,M6K 1Y3,Loft,Entire home/apt,100.0,airbnb
M6G ,M6G 2Y3,House,Private room,46.0,airbnb
M6H ,M6H 1K7,House,Entire home/apt,135.0,airbnb
M2N ,M2N 1Y7,House,Entire home/apt,42.0,airbnb
M6H ,M6H 2G1,Apartment,Entire home/apt,84.0,airbnb
M4L ,M4L 3E2,House,Entire home/apt,175.0,airbnb
M5A ,M5A 2R6,Loft,Entire home/apt,190.0,airbnb
M6J ,M6J 1A8,Guest suite,Entire home/apt,84.0,airbnb
M5J ,M5J 2Y5,Condominium,Entire home/apt,88.0,airbnb
M6R ,M6R 2G5,Apartment,Entire home/apt,75.0,airbnb
M4E ,M4E 2B8,Apartment,Entire home/apt,75.0,airbnb
M6C ,M6C 3Y8,Apartment,Entire home/apt,80.0,airbnb
M6G ,M6G 3L9,House,Entire home/apt,88.0,airbnb
M4E ,M4E 2B8,Apartment,Entire home/apt,70.0,airbnb
M6G ,M6G 3J7,Guest suite,Entire home/apt,90.0,airbnb
M5R ,M5R 3G8,House,Private room,141.0,airbnb
M5T ,M5T 2W7,Apartment,Entire home/apt,100.0,airbnb
M4J ,M4J 4J2,House,Private room,50.0,airbnb
M5S ,M5S 2R2,Apartment,Private room,55.0,airbnb
M1M ,M1M 2Y6,Bed and breakfast,Private room,79.0,airbnb
M6R ,M6R 1K1,House,Entire home/apt,245.0,airbnb
M5A ,M5A 1M1,Condominium,Entire home/apt,142.0,airbnb
M6H ,M6H 3G7,Guest suite,Entire home/apt,75.0,airbnb
M5R ,M5R 1E2,House,Private room,71.0,airbnb
M4K ,M4K 1M6,Apartment,Entire home/apt,100.0,airbnb
M4E ,M4E 1H7,House,Entire home/apt,228.0,airbnb
M6H ,M6H 1J9,Apartment,Private room,98.0,airbnb
M5V ,M5V 4A9,Condominium,Entire home/apt,159.0,airbnb
M6J ,M6J 3C9,House,Entire home/apt,121.0,airbnb
M6J ,M6J 3C9,Condominium,Entire home/apt,100.0,airbnb
M5T ,M5T 1L8,Apartment,Private room,159.0,airbnb
M5T ,M5T 1L8,Apartment,Private room,95.0,airbnb
M6R ,M6R 1H6,House,Private room,55.0,airbnb
M5V ,M5V 3X6,Condominium,Entire home/apt,95.0,airbnb
M5V ,M5V 1J6,House,Private room,66.0,airbnb
